Timestamp,Condition,Pipeline,Latency_ms,Peak_RAM_KB,EAR,MAR,PERCLOS,DL_Prob,System_Alert,Ground_Truth_Fatigue
22:27:49,Baseline,Heuristic,0.24,10.9,0.239,0.001,0.0,,False,False
22:27:49,Baseline,DL_quant,1.07,352.36,,,,0.0,False,False
22:27:49,Baseline,Heuristic,0.18,1.01,0.249,0.001,0.0,,False,False
22:27:49,Baseline,DL_quant,1.08,351.81,,,,0.0,False,False
22:27:49,Baseline,Heuristic,0.1,1.01,0.252,0.002,0.0,,False,False
22:27:49,Baseline,DL_quant,1.01,351.81,,,,0.0,False,False
22:27:49,Baseline,Heuristic,0.12,1.01,0.254,0.002,0.0,,False,False
22:27:49,Baseline,DL_quant,0.84,351.81,,,,0.0,False,False
22:27:49,Baseline,Heuristic,0.11,1.01,0.253,0.002,0.0,,False,False
22:27:49,Baseline,DL_quant,0.96,351.81,,,,0.0,False,False
22:27:49,Baseline,Heuristic,0.11,1.01,0.253,0.002,0.0,,False,False
22:27:49,Baseline,DL_quant,1.19,351.81,,,,0.0,False,False
22:27:49,Baseline,Heuristic,0.1,1.01,0.253,0.002,0.0,,False,False
22:27:49,Baseline,DL_quant,0.77,351.81,,,,0.0,False,False
22:27:49,Baseline,Heuristic,0.12,1.01,0.252,0.002,0.0,,False,False
22:27:49,Baseline,DL_quant,0.82,351.81,,,,0.0,False,False
22:27:49,Baseline,Heuristic,0.11,1.01,0.252,0.002,0.0,,False,False
22:27:49,Baseline,DL_quant,0.82,351.81,,,,0.0,False,False
22:27:49,Baseline,Heuristic,0.1,1.01,0.251,0.002,0.0,,False,False
22:27:49,Baseline,DL_quant,0.77,351.81,,,,0.0,False,False
22:27:49,Baseline,Heuristic,0.1,1.01,0.251,0.002,0.0,,False,False
22:27:49,Baseline,DL_quant,0.74,351.81,,,,0.0,False,False
22:27:49,Baseline,Heuristic,0.1,1.01,0.25,0.002,0.0,,False,False
22:27:49,Baseline,DL_quant,0.82,351.81,,,,0.0,False,False
22:27:49,Baseline,Heuristic,0.1,1.01,0.25,0.002,0.0,,False,False
22:27:49,Baseline,DL_quant,0.93,351.81,,,,0.0,False,False
22:27:49,Baseline,Heuristic,0.28,1.01,0.25,0.002,0.0,,False,False
22:27:49,Baseline,DL_quant,2.25,351.81,,,,0.0,False,False
22:27:49,Baseline,Heuristic,0.1,1.01,0.251,0.002,0.0,,False,False
22:27:49,Baseline,DL_quant,0.77,351.81,,,,0.0,False,False
22:27:49,Baseline,Heuristic,0.17,1.01,0.251,0.002,0.0,,False,False
22:27:49,Baseline,DL_quant,1.31,351.81,,,,0.0,False,False
22:27:49,Baseline,Heuristic,0.13,1.01,0.252,0.002,0.0,,False,False
22:27:49,Baseline,DL_quant,0.93,351.81,,,,0.0,False,False
22:27:49,Baseline,Heuristic,0.1,1.01,0.252,0.002,0.0,,False,False
22:27:49,Baseline,DL_quant,0.77,351.81,,,,0.0,False,False
22:27:49,Baseline,Heuristic,0.14,1.01,0.253,0.002,0.0,,False,False
22:27:49,Baseline,DL_quant,1.17,351.81,,,,0.0,False,False
22:27:49,Baseline,Heuristic,0.1,1.01,0.253,0.002,0.0,,False,False
22:27:49,Baseline,DL_quant,0.77,351.81,,,,0.0,False,False
22:27:49,Baseline,Heuristic,0.15,1.01,0.254,0.002,0.0,,False,False
22:27:49,Baseline,DL_quant,0.91,351.81,,,,0.0,False,False
22:27:49,Baseline,Heuristic,0.1,1.01,0.255,0.002,0.0,,False,False
22:27:49,Baseline,DL_quant,1.04,351.81,,,,0.0,False,False
22:27:49,Baseline,Heuristic,0.1,1.01,0.256,0.002,0.0,,False,False
22:27:49,Baseline,DL_quant,0.82,351.81,,,,0.0,False,False
22:27:50,Baseline,Heuristic,0.11,1.01,0.257,0.002,0.0,,False,False
22:27:50,Baseline,DL_quant,0.87,351.81,,,,0.0,False,False
22:27:50,Baseline,Heuristic,0.15,1.01,0.258,0.002,0.0,,False,False
22:27:50,Baseline,DL_quant,1.12,351.81,,,,0.0,False,False
22:27:50,Baseline,Heuristic,0.1,1.01,0.259,0.002,0.0,,False,False
22:27:50,Baseline,DL_quant,0.75,351.81,,,,0.0,False,False
22:27:50,Baseline,Heuristic,0.11,1.01,0.26,0.002,0.0,,False,False
22:27:50,Baseline,DL_quant,0.84,351.81,,,,0.0,False,False
22:27:50,Baseline,Heuristic,0.1,1.01,0.261,0.002,0.0,,False,False
22:27:50,Baseline,DL_quant,0.81,351.81,,,,0.0,False,False
22:27:50,Baseline,Heuristic,0.15,1.01,0.262,0.002,0.0,,False,False
22:27:50,Baseline,DL_quant,1.03,351.81,,,,0.0,False,False
22:27:50,Baseline,Heuristic,0.16,1.01,0.262,0.002,0.0,,False,False
22:27:50,Baseline,DL_quant,1.24,351.81,,,,0.0,False,False
22:27:50,Baseline,Heuristic,0.11,1.01,0.263,0.002,0.0,,False,False
22:27:50,Baseline,DL_quant,0.84,351.81,,,,0.0,False,False
22:27:50,Baseline,Heuristic,0.1,1.01,0.263,0.002,0.0,,False,False
22:27:50,Baseline,DL_quant,0.85,351.81,,,,0.0,False,False
22:27:50,Baseline,Heuristic,0.16,1.27,0.263,0.002,0.0,,False,False
22:27:50,Baseline,DL_quant,1.27,351.81,,,,0.0,False,False
22:27:50,Baseline,Heuristic,0.17,1.01,0.263,0.002,0.0,,False,False
22:27:50,Baseline,DL_quant,1.27,351.81,,,,0.0,False,False
22:27:50,Baseline,Heuristic,0.11,1.01,0.263,0.002,0.0,,False,False
22:27:50,Baseline,DL_quant,0.8,351.81,,,,0.0,False,False
22:27:50,Baseline,Heuristic,0.1,1.01,0.263,0.002,0.0,,False,False
22:27:50,Baseline,DL_quant,0.79,351.81,,,,0.0,False,False
22:27:50,Baseline,Heuristic,0.15,1.01,0.264,0.002,0.0,,False,False
22:27:50,Baseline,DL_quant,0.93,351.81,,,,0.0,False,False
22:27:50,Baseline,Heuristic,0.1,1.01,0.264,0.002,0.0,,False,False
22:27:50,Baseline,DL_quant,0.83,351.81,,,,0.0,False,False
22:27:50,Baseline,Heuristic,0.1,1.01,0.264,0.002,0.0,,False,False
22:27:50,Baseline,DL_quant,0.77,351.81,,,,0.0,False,False
22:27:50,Baseline,Heuristic,0.1,1.01,0.264,0.002,0.0,,False,False
22:27:50,Baseline,DL_quant,0.77,351.81,,,,0.0,False,False
22:27:50,Baseline,Heuristic,0.16,1.01,0.265,0.002,0.0,,False,False
22:27:50,Baseline,DL_quant,0.87,351.81,,,,0.0,False,False
22:27:50,Baseline,Heuristic,0.1,1.01,0.265,0.002,0.0,,False,False
22:27:50,Baseline,DL_quant,0.81,351.81,,,,0.0,False,False
22:27:50,Baseline,Heuristic,0.1,1.01,0.266,0.002,0.0,,False,False
22:27:50,Baseline,DL_quant,0.81,351.81,,,,0.0,False,False
22:27:50,Baseline,Heuristic,0.15,1.01,0.266,0.002,0.0,,False,False
22:27:50,Baseline,DL_quant,1.19,351.81,,,,0.0,False,False
22:27:50,Baseline,Heuristic,0.1,1.01,0.267,0.002,0.0,,False,False
22:27:50,Baseline,DL_quant,0.85,351.81,,,,0.0,False,False
22:27:50,Baseline,Heuristic,0.12,1.01,0.268,0.002,0.0,,False,False
22:27:50,Baseline,DL_quant,0.95,351.81,,,,0.0,False,False
22:27:50,Baseline,Heuristic,0.1,1.01,0.269,0.002,0.0,,False,False
22:27:50,Baseline,DL_quant,0.78,351.81,,,,0.0,False,False
22:27:50,Baseline,Heuristic,0.2,1.01,0.269,0.002,0.0,,False,False
22:27:50,Baseline,DL_quant,1.24,351.81,,,,0.0,False,False
22:27:50,Baseline,Heuristic,0.1,1.01,0.27,0.002,0.0,,False,False
22:27:50,Baseline,DL_quant,0.75,351.81,,,,0.0,False,False
22:27:50,Baseline,Heuristic,0.15,1.01,0.271,0.002,0.0,,False,False
22:27:50,Baseline,DL_quant,0.94,351.81,,,,0.0,False,False
