Condition,Pipeline,Samples,Accuracy (%),TPR (%),FPR (%),Avg Latency (ms),Avg RAM (KB)
Baseline,Deep_Learning,1507.0,35.3,30.65,63.43,2.29,153.47
Baseline,Heuristic,1507.0,64.1,43.65,30.32,0.11,1.02
