Condition,Pipeline,Samples,Accuracy (%),TPR (%),FPR (%),Avg Latency (ms),Avg RAM (KB)
Baseline,DL_quant,2121.0,94.2,0.0,5.8,0.97,351.81
Baseline,Heuristic,2121.0,95.85,0.0,4.15,0.14,1.02
