Condition,Pipeline,Samples,Accuracy (%),TPR (%),FPR (%),Avg Latency (ms),Avg RAM (KB)
Baseline,DL_quant,2468.0,91.69,0.0,8.31,1.05,351.81
Baseline,Heuristic,2468.0,8.14,0.0,91.86,0.15,1.02
